,Bandit,Reward,Algorithm
399,3,3.8772816527875356,Epsilon Greedy
400,3,4.101658618880803,Epsilon Greedy
401,3,2.8564701578977574,Epsilon Greedy
402,3,2.0877753416191487,Epsilon Greedy
403,3,1.8221675241652653,Epsilon Greedy
404,3,3.9443320522211467,Epsilon Greedy
405,3,5.537166087377244,Epsilon Greedy
406,3,2.3854727212254216,Epsilon Greedy
407,3,4.169171183279994,Epsilon Greedy
408,3,3.6361880983036663,Epsilon Greedy
409,3,4.371216798812835,Epsilon Greedy
410,3,3.519860474630209,Epsilon Greedy
411,3,3.473369017330214,Epsilon Greedy
412,3,4.838797202965893,Epsilon Greedy
413,3,4.597076726533886,Epsilon Greedy
414,3,3.4456512396015366,Epsilon Greedy
415,3,4.790084711443521,Epsilon Greedy
416,3,4.52191858253446,Epsilon Greedy
417,3,3.2655727374796673,Epsilon Greedy
418,3,3.7856500768651737,Epsilon Greedy
419,3,4.410513106477009,Epsilon Greedy
420,3,3.9266640439811877,Epsilon Greedy
421,3,4.674835630763616,Epsilon Greedy
422,3,4.472622710517097,Epsilon Greedy
423,3,4.262185394703842,Epsilon Greedy
424,3,4.005788165757012,Epsilon Greedy
425,3,6.7391475096966875,Epsilon Greedy
426,3,2.0036285809371885,Epsilon Greedy
427,3,3.1349315502983712,Epsilon Greedy
428,3,3.648355961514657,Epsilon Greedy
429,3,3.025445974937917,Epsilon Greedy
430,3,5.553207245515528,Epsilon Greedy
431,3,3.6808981341765694,Epsilon Greedy
432,3,3.0851254996308604,Epsilon Greedy
433,3,5.832023324023288,Epsilon Greedy
434,3,3.0642514855205985,Epsilon Greedy
435,3,3.2030275058715794,Epsilon Greedy
436,3,4.316432458950797,Epsilon Greedy
437,3,2.95266992167355,Epsilon Greedy
438,3,4.148931931164507,Epsilon Greedy
439,3,3.7092321651522635,Epsilon Greedy
440,3,4.131589234029425,Epsilon Greedy
441,3,2.1275428295676564,Epsilon Greedy
442,3,3.5448242988226473,Epsilon Greedy
443,3,2.750938216728011,Epsilon Greedy
444,3,3.2134967007200306,Epsilon Greedy
445,3,5.220456167075658,Epsilon Greedy
446,3,3.595807877876068,Epsilon Greedy
447,3,5.4079050342011525,Epsilon Greedy
448,3,4.5355109298873035,Epsilon Greedy
449,3,4.992146713120658,Epsilon Greedy
450,3,4.872168570100188,Epsilon Greedy
451,3,4.276633197833772,Epsilon Greedy
452,3,4.565824520936153,Epsilon Greedy
453,3,5.609577582180058,Epsilon Greedy
454,3,3.6064550141617144,Epsilon Greedy
455,3,3.8362317792161984,Epsilon Greedy
456,3,4.6249330139918845,Epsilon Greedy
457,3,2.8438077794210965,Epsilon Greedy
458,3,5.2135704290422815,Epsilon Greedy
459,3,3.9299413524773654,Epsilon Greedy
460,3,2.8825529369809084,Epsilon Greedy
461,3,4.344406326247961,Epsilon Greedy
462,3,5.3062084970560015,Epsilon Greedy
463,3,3.4664611564376395,Epsilon Greedy
464,3,4.5122753620641145,Epsilon Greedy
465,3,3.736357021506302,Epsilon Greedy
466,3,4.3004327133090445,Epsilon Greedy
467,3,3.7452629888151705,Epsilon Greedy
468,3,1.1145304608247995,Epsilon Greedy
469,3,4.335187611187644,Epsilon Greedy
470,3,4.687635821710668,Epsilon Greedy
471,3,6.010932528355504,Epsilon Greedy
472,3,3.364301023276816,Epsilon Greedy
473,3,3.016933287131478,Epsilon Greedy
474,3,5.462256621116508,Epsilon Greedy
475,3,3.655619465777074,Epsilon Greedy
476,3,4.063979459136826,Epsilon Greedy
477,3,5.318423650360469,Epsilon Greedy
478,3,5.297567465393953,Epsilon Greedy
479,3,3.851067112125413,Epsilon Greedy
480,3,4.03862262897752,Epsilon Greedy
481,3,2.6123085987727968,Epsilon Greedy
482,3,4.096071914876891,Epsilon Greedy
483,3,4.5252641540746135,Epsilon Greedy
484,3,4.516829449988551,Epsilon Greedy
485,3,4.26044166265114,Epsilon Greedy
486,3,5.795645902726054,Epsilon Greedy
487,3,2.9333906161938073,Epsilon Greedy
488,3,5.210434432836774,Epsilon Greedy
489,3,5.0874057822079735,Epsilon Greedy
490,3,5.207210964197478,Epsilon Greedy
491,3,5.092975777430923,Epsilon Greedy
492,3,5.481891633181564,Epsilon Greedy
493,3,4.699986259925543,Epsilon Greedy
494,3,5.304632026149593,Epsilon Greedy
495,3,4.209999905960708,Epsilon Greedy
496,3,3.198511489428868,Epsilon Greedy
497,3,4.364976503112351,Epsilon Greedy
498,3,4.925718510369511,Epsilon Greedy
499,3,2.675923515344242,Epsilon Greedy
500,3,2.5349995573343826,Epsilon Greedy
501,3,5.045843472668836,Epsilon Greedy
502,3,4.111120034035919,Epsilon Greedy
503,3,3.780872958824303,Epsilon Greedy
504,3,3.863530423026585,Epsilon Greedy
505,3,3.337604803146327,Epsilon Greedy
506,3,2.814525944512382,Epsilon Greedy
507,3,5.296853584350667,Epsilon Greedy
508,3,2.8348417998748126,Epsilon Greedy
509,3,3.6243076153902405,Epsilon Greedy
510,3,3.885695085878124,Epsilon Greedy
511,3,3.2513430998583126,Epsilon Greedy
512,3,3.6095250707912294,Epsilon Greedy
513,3,4.668511209248286,Epsilon Greedy
514,3,1.565053201335732,Epsilon Greedy
515,3,5.220737550880944,Epsilon Greedy
516,3,3.649554707753393,Epsilon Greedy
517,3,3.2728958323675483,Epsilon Greedy
518,3,4.261662909075012,Epsilon Greedy
519,3,3.3257178524640936,Epsilon Greedy
520,3,4.595374028867408,Epsilon Greedy
521,3,4.782921289726456,Epsilon Greedy
522,3,4.348455366053924,Epsilon Greedy
523,3,3.7281012763225916,Epsilon Greedy
524,3,3.3145802686442374,Epsilon Greedy
525,0,-0.5214597057294268,Epsilon Greedy
526,3,5.201715825988721,Epsilon Greedy
527,3,6.113455763276179,Epsilon Greedy
528,3,4.420379708656541,Epsilon Greedy
529,3,5.17984678419658,Epsilon Greedy
